Adoption,Died,Euthanasia,Return_to_owner,Transfer,ID
0.0866666666667,0.0,0.0416666666667,0.598333333333,0.273333333333,1
0.768333333333,0.0,0.00333333333333,0.143333333333,0.085,2
0.341666666667,0.00166666666667,0.00833333333333,0.203333333333,0.445,3
0.178333333333,0.00333333333333,0.0166666666667,0.13,0.671666666667,4
0.523333333333,0.0,0.00666666666667,0.305,0.165,5
0.313333333333,0.0,0.015,0.42,0.251666666667,6
0.175,0.00166666666667,0.143333333333,0.288333333333,0.391666666667,7
0.95,0.0,0.00333333333333,0.015,0.0316666666667,8
0.785,0.0,0.0,0.09,0.125,9
0.538333333333,0.00833333333333,0.035,0.306666666667,0.111666666667,10
0.586111111111,0.0,0.015,0.185,0.213888888889,11
0.0283333333333,0.0,0.08,0.085,0.806666666667,12
0.466666666667,0.0,0.0433333333333,0.145,0.345,13
0.243333333333,0.02,0.0283333333333,0.06,0.648333333333,14
0.871666666667,0.0,0.00333333333333,0.103333333333,0.0216666666667,15
0.487222222222,0.0,0.0116666666667,0.106666666667,0.394444444444,16
0.236666666667,0.0,0.055,0.535,0.173333333333,17
0.325,0.00166666666667,0.0166666666667,0.346666666667,0.31,18
0.33,0.005,0.055,0.208333333333,0.401666666667,19
0.00833333333333,0.02,0.44,0.0116666666667,0.52,20
0.111666666667,0.0,0.0416666666667,0.141666666667,0.705,21
0.0,0.00333333333333,0.0133333333333,0.0,0.983333333333,22
0.673333333333,0.0,0.0,0.233333333333,0.0933333333333,23
0.00166666666667,0.0116666666667,0.045,0.0,0.941666666667,24
0.820833333333,0.0,0.005,0.16,0.0141666666667,25
0.135,0.00333333333333,0.275,0.0783333333333,0.508333333333,26
0.943333333333,0.0,0.00666666666667,0.00666666666667,0.0433333333333,27
0.0433333333333,0.0266666666667,0.0605555555556,0.115,0.754444444444,28
0.403333333333,0.0,0.075,0.316666666667,0.205,29
0.285,0.0,0.035,0.47,0.21,30
0.293333333333,0.0183333333333,0.0216666666667,0.111666666667,0.555,31
0.914166666667,0.0,0.0,0.0433333333333,0.0425,32
0.296666666667,0.0116666666667,0.111666666667,0.175,0.405,33
0.955,0.0,0.00166666666667,0.025,0.0183333333333,34
0.531666666667,0.00833333333333,0.035,0.00166666666667,0.423333333333,35
0.561666666667,0.0,0.045,0.13,0.263333333333,36
0.125,0.0116666666667,0.118333333333,0.045,0.7,37
0.733333333333,0.0,0.00166666666667,0.101666666667,0.163333333333,38
0.581666666667,0.00166666666667,0.005,0.151666666667,0.26,39
0.545,0.0,0.0516666666667,0.101666666667,0.301666666667,40
0.09,0.0,0.045,0.58,0.285,41
0.0,0.0,0.00888888888889,0.0,0.991111111111,42
0.450555555556,0.0,0.0216666666667,0.0633333333333,0.464444444444,43
0.0,0.005,0.14,0.00333333333333,0.851666666667,44
0.0816666666667,0.025,0.09,0.0333333333333,0.77,45
0.466666666667,0.00166666666667,0.0833333333333,0.0333333333333,0.415,46
0.253333333333,0.00833333333333,0.0216666666667,0.265,0.451666666667,47
