Adoption,Died,Euthanasia,Return_to_owner,Transfer,ID
0.0733570451412,0.00435368067341,0.0741014448393,0.436681674677,0.411506154669,1
0.594529263913,0.000559452889864,0.0150751120024,0.236013064348,0.153823106847,2
0.370108760072,0.00674957541208,0.0222461809728,0.194745290289,0.406150193254,3
0.126930904636,0.00594913862694,0.0346003470714,0.170410742778,0.662108866888,4
0.359091642205,0.00245929240218,0.0411655132419,0.353522682189,0.243760869962,5
0.30506268744,0.00170866948095,0.0525532551462,0.425346438496,0.215328949436,6
0.273664996639,0.00137087733509,0.0967067857489,0.205988911764,0.422268428513,7
0.873529652119,0.00110223844011,0.00537538647822,0.0500235827111,0.0699691402515,8
0.827837427801,0.000157574516532,0.00157628187499,0.0750832895992,0.0953454262087,9
0.416902330743,0.00324124703423,0.0372899358135,0.243464234803,0.299102251606,10
0.588722436641,0.000226106644916,0.00955217186859,0.139343596866,0.262155687979,11
0.052699610839,0.00220125147948,0.136732919413,0.293364059144,0.515002159125,12
0.516319479328,0.00032436358639,0.0113653391604,0.144118539977,0.327872277948,13
0.401377044404,0.00581706021134,0.0355448815946,0.0860626830074,0.471198330783,14
0.679781222171,0.000930661809943,0.0112170261466,0.166555720208,0.141515369665,15
0.522632101033,0.00107719748013,0.0133825881312,0.124978821701,0.337929291655,16
0.292790897746,0.00197904695388,0.0559121548545,0.437578597414,0.211739303031,17
0.321750539308,0.0030794599434,0.0456778590046,0.402866395946,0.226625745799,18
0.368873640497,0.00846649881568,0.041239163172,0.238068278385,0.34335241913,19
0.00887674231264,0.00973288096715,0.321223446133,0.00666584836323,0.653501082224,20
0.254870425402,0.000605568830686,0.0275903275364,0.150784607034,0.566149071197,21
0.0,0.00563665895697,0.0410626493548,0.000689384462382,0.952611307226,22
0.678130738773,0.000946697846662,0.0102921658037,0.168506148051,0.142124249525,23
0.000403134968419,0.00584445745855,0.0197325466023,0.00126968117585,0.972750179795,24
0.716575190418,0.00133160611619,0.00694735598336,0.194354501445,0.0807913460368,25
0.202794927629,0.0170128042557,0.160913789442,0.0756415287929,0.543636949881,26
0.941839057108,0.000617011666482,0.00165141031036,0.0156760320463,0.040216488869,27
0.011325609704,0.0186621838057,0.105104722325,0.0460599330339,0.818847551132,28
0.303497585104,0.00130835053114,0.064444993491,0.427053767596,0.203695303278,29
